endpoint,death_mode,feature_set,leakage_risk,model,n_rows,n_events,n_features,mean,std,median,min,max,n_folds,elapsed_s
death,drop_missing_death,baseline_v1,low,coxnet,984,76,23,0.7521617531822985,0.1081038630399479,0.7394957983193278,0.5844311377245509,0.9016203703703703,15,0.0
death,censor_missing_death_at_last,baseline_v1,low,coxnet,1253,76,23,0.736557999336172,0.0908165296706034,0.7287615148413511,0.5590230664857531,0.8581788879935536,15,0.2
death,censor_missing_death_at_last,baseline_v1,low,xgb_cox,1253,76,23,0.7853039801807397,0.0973240109086614,0.8135168961201502,0.4871099050203528,0.8782837127845884,15,0.0
death,drop_missing_death,baseline_v1,low,xgb_cox,984,76,23,0.7667440132430844,0.0921318025622087,0.7655310621242485,0.5438373570520966,0.8824451410658307,15,9.7
death,drop_missing_death,followup_proxy_only,very high (audit only),coxnet,984,76,11,0.9461324635358986,0.0248774954462298,0.953232462173315,0.8869123252858958,0.9837962962962964,15,0.0
death,censor_missing_death_at_last,followup_proxy_only,very high (audit only),coxnet,1253,76,11,0.9428156989078532,0.0317791326024065,0.9427083333333334,0.8466757123473542,0.9880573248407644,15,0.0
death,drop_missing_death,followup_proxy_only,very high (audit only),xgb_cox,984,76,11,0.9277475129374032,0.0293574055180268,0.9298642533936652,0.8449809402795425,0.9722222222222222,15,0.0
death,censor_missing_death_at_last,followup_proxy_only,very high (audit only),xgb_cox,1253,76,11,0.9288101532646308,0.0337834113490921,0.9340277777777778,0.8222523744911805,0.9729064039408868,15,0.0
death,censor_missing_death_at_last,longitudinal_summary,moderate,coxnet,1253,76,143,0.9350183098303192,0.0205390312982531,0.9391395592864638,0.8792221084953941,0.9704433497536946,15,0.0
death,drop_missing_death,longitudinal_summary,moderate,coxnet,984,76,143,0.930115907890426,0.0311868538284446,0.9341692789968652,0.8518518518518519,0.9667318982387476,15,1.0
death,drop_missing_death,longitudinal_summary,moderate,xgb_cox,984,76,143,0.9496941412449428,0.0185637913602439,0.945141065830721,0.9110546378653112,0.976851851851852,15,21.4
death,censor_missing_death_at_last,longitudinal_summary,moderate,xgb_cox,1253,76,143,0.9516520770002638,0.0139653702446743,0.955239064089522,0.9272727272727272,0.9715762273901808,15,21.8
hepatic,,baseline_v1,low,catboost_h5,1253,47,23,0.6347799133109416,0.1110004346602928,0.6293159609120521,0.373134328358209,0.8173913043478261,15,8.7
hepatic,,baseline_v1,low,coxnet,1253,47,23,0.682037183232147,0.1143718883646811,0.6466498103666245,0.518463810930576,0.9274131274131274,15,0.3
hepatic,,baseline_v1,low,lgbm_h5,1253,47,23,0.6774176439361085,0.0999371882637898,0.6584880636604774,0.5474083438685209,0.8793478260869565,15,16.2
hepatic,,baseline_v1,low,rsf,1253,47,23,0.7974832030522977,0.0779855870982584,0.7858197932053176,0.6703146374829001,0.933695652173913,15,14.5
hepatic,,baseline_v1,low,xgb_cox,1253,47,23,0.7277396004721609,0.1133626010874285,0.7309446254071661,0.5524652338811631,0.9163424124513618,15,7.2
hepatic,,early_v1_v3,low-moderate,catboost_h5,1253,47,55,0.7219796024009145,0.1150163444283564,0.761180679785331,0.5627769571639586,0.925,15,18.3
hepatic,,early_v1_v3,low-moderate,coxnet,1253,47,55,0.6418868626184937,0.1099584918991696,0.6130558183538316,0.4814323607427055,0.8532608695652174,15,1.0
hepatic,,early_v1_v3,low-moderate,lgbm_h5,1253,47,55,0.6814758168692059,0.0926711463743884,0.6977611940298507,0.5107491856677524,0.8141592920353983,15,20.6
hepatic,,early_v1_v3,low-moderate,rsf,1253,47,55,0.7594518632056206,0.0851099227452308,0.757754800590842,0.6194029850746269,0.9108695652173912,15,29.8
hepatic,,early_v1_v3,low-moderate,xgb_cox,1253,47,55,0.7436526379449674,0.0930626023075562,0.759697256385998,0.5325238508239376,0.9217391304347826,15,10.4
hepatic,,followup_proxy_only,very high (audit only),coxnet,1253,47,11,0.5726595269236612,0.13226351643473,0.5389518413597734,0.408987052551409,0.7855495772482706,15,0.1
hepatic,,longitudinal_plus_meta,high (visit-count/followup proxies),coxnet,1253,47,144,0.6797392937548518,0.1054238910266353,0.6521739130434783,0.5472679965307893,0.9008455034588778,15,1.9
hepatic,,longitudinal_plus_meta,high (visit-count/followup proxies),xgb_cox,1253,47,144,0.7515111510460665,0.093540257138336,0.7555391432791728,0.6240671641791045,0.9152970922882429,15,19.2
hepatic,,longitudinal_summary,moderate,catboost_h5,1253,47,143,0.7233496203419981,0.1100515987255009,0.6981786643538594,0.5474903474903475,0.9154496541122212,15,119.8
hepatic,,longitudinal_summary,moderate,coxnet,1253,47,143,0.681026504015007,0.1049610000086149,0.6532608695652173,0.5524718126626192,0.9023827824750192,15,1.8
hepatic,,longitudinal_summary,moderate,lgbm_h5,1253,47,143,0.7072669529056258,0.1318279989391642,0.6947592067988668,0.4980106100795756,0.9000768639508071,15,107.8
hepatic,,longitudinal_summary,moderate,xgb_cox,1253,47,143,0.7487610722489667,0.0944588943541329,0.7393767705382436,0.6140583554376657,0.9190897597977244,15,17.5
hepatic,,nit_only,moderate,coxnet,1253,47,38,0.7338350766064273,0.1103687575941324,0.7044935262757045,0.5922779922779923,0.9026548672566372,15,0.8
hepatic,,nit_only,moderate,xgb_cox,1253,47,38,0.7893592798628156,0.1165603264527852,0.8119565217391305,0.5583011583011583,0.9239046887009992,15,8.7
hepatic,,strict_time_aligned,defensible,coxnet,1253,47,140,0.9377554147450574,0.0541559156246396,0.9645522388059702,0.8195439739413681,0.9918759231905464,15,5.5
