endpoint,model,feature_set,leakage_risk,n_folds_evaluated,cindex_mean,cindex_std,cindex_min
hepatic,coxnet,baseline_v1,low,25,0.7438722456941602,0.10290939617909545,0.49163346613545816
hepatic,rsf,baseline_v1,low,25,0.790439092923894,0.10709401851521666,0.5085271317829457
hepatic,xgb_cox,baseline_v1,low,25,0.7374028252283292,0.10461874807820998,0.49482071713147413
hepatic,lgbm_binary,baseline_v1,low,25,0.7265415777803647,0.08867329514823757,0.49612403100775193
hepatic,catboost_binary,baseline_v1,low,25,0.6898037585479421,0.0929222428007325,0.4232558139534884
death,coxnet,baseline_v1,low,25,0.7895947883524275,0.05690476723201263,0.6871880199667221
death,rsf,baseline_v1,low,25,0.8076898765044844,0.06041029486218694,0.6937590711175616
death,xgb_cox,baseline_v1,low,25,0.7621101488127437,0.05525512963762446,0.6422668240850059
death,lgbm_binary,baseline_v1,low,25,0.7021980493175195,0.0828239280170116,0.5207986688851913
death,catboost_binary,baseline_v1,low,25,0.6548843447069224,0.10114751546637632,0.44342762063227953
