endpoint,model,feature_set,leakage_risk,n_folds_evaluated,cindex_mean,cindex_std,cindex_min
hepatic,coxnet,baseline_v1,low,25,0.7438722456941602,0.10290939617909545,0.49163346613545816
hepatic,rsf,baseline_v1,low,25,0.790439092923894,0.10709401851521666,0.5085271317829457
hepatic,xgb_cox,baseline_v1,low,25,0.7374028252283292,0.10461874807820998,0.49482071713147413
hepatic,lgbm_binary,baseline_v1,low,25,0.7265415777803647,0.08867329514823757,0.49612403100775193
hepatic,catboost_binary,baseline_v1,low,25,0.6898037585479421,0.0929222428007325,0.4232558139534884
death,coxnet,baseline_v1,low,25,0.7911563478848852,0.05636217855463642,0.6880199667221298
death,rsf,baseline_v1,low,25,0.807018451565973,0.057828603224073426,0.6952104499274311
death,xgb_cox,baseline_v1,low,25,0.7664903740962957,0.05328414198335922,0.6812278630460449
death,lgbm_binary,baseline_v1,low,25,0.6839761110465429,0.08591396000057215,0.5224625623960066
death,catboost_binary,baseline_v1,low,25,0.6415800633536908,0.09873889931510679,0.4259567387687188
