repeat,fold,cindex_hepatic,cindex_death,score
0,0,0.7145618556701031,0.8702290076335878,0.7612620012591484
0,1,0.9542151162790697,0.8728139904610492,0.9297947785336635
0,2,0.7366795366795367,0.9563409563409564,0.8025779625779625
0,3,0.7894308943089431,0.9251844046364595,0.8301569474071979
0,4,0.586046511627907,0.9404761904761905,0.692375415282392
1,0,0.5879323031640913,0.9498364231188658,0.6965035391505237
1,1,0.8008323424494649,0.9169859514687101,0.8356784251552385
1,2,0.8456692913385827,0.8932203389830509,0.859934605631923
1,3,0.8631452581032413,0.918194161575017,0.879659929144774
1,4,0.8569794050343249,0.9154078549848943,0.8745079400194957
2,0,0.5808764940239044,0.9184397163120568,0.6821454607103501
2,1,0.7541353383458647,0.9240687679083095,0.8051153672145981
2,2,0.9623983739837398,0.9504876219054764,0.9588251483602608
2,3,0.8751013787510138,0.8913813459268005,0.8799853689037498
2,4,0.9253012048192771,0.9047261815453863,0.9191286978371098
