endpoint,model,feature_set,leakage_risk,n_folds_evaluated,cindex_mean,cindex_std,cindex_min,cindex_max,cindex_mean_minus_halfsd
hepatic,rsf,NIT_longitudinal_only,moderate,15,0.7873947043646969,0.12443543798065525,0.5829457364341085,0.9556686046511628,0.7251769853743694
hepatic,xgb_cox,NIT_longitudinal_only,moderate,15,0.7349574609355691,0.13430322179637608,0.47729083665338645,0.9512195121951219,0.6678058500373811
hepatic,lgbm_binary,NIT_longitudinal_only,moderate,15,0.7376282469714425,0.11447746110042113,0.5784860557768924,0.9454941860465116,0.6803895164212319
hepatic,catboost_binary,NIT_longitudinal_only,moderate,15,0.7007986125349034,0.1291842498038937,0.5577689243027888,0.9491279069767442,0.6362064876329565
hepatic,xgb_binary,NIT_longitudinal_only,moderate,15,0.719878606526216,0.13900688828964686,0.5334805003679176,0.9634146341463414,0.6503751623813926
death,rsf,NIT_longitudinal_only,moderate,15,0.8508217306362543,0.04197108545914018,0.7712765957446809,0.9129782445611403,0.8298361879066842
death,xgb_cox,NIT_longitudinal_only,moderate,15,0.8646380110278514,0.04617102676108582,0.7615819209039548,0.9230769230769231,0.8415524976473086
death,lgbm_binary,NIT_longitudinal_only,moderate,15,0.7242474144769285,0.07412639820535531,0.6002865329512894,0.8650793650793651,0.6871842153742509
death,catboost_binary,NIT_longitudinal_only,moderate,15,0.6846620741658247,0.09865185996922685,0.5158124318429662,0.8373015873015873,0.6353361441812113
death,xgb_binary,NIT_longitudinal_only,moderate,15,0.6942089432878535,0.08470233162677875,0.5243553008595988,0.8518518518518519,0.6518577774744642
