repeat,fold,cindex_hepatic,cindex_death,score
0,0,0.7496778350515464,0.7131952017448201,0.7387330450595284
0,1,0.9222383720930233,0.6597774244833068,0.8435000878101082
0,2,0.6034749034749035,0.8052668052668053,0.664012474012474
0,3,0.6247967479674796,0.8429926238145417,0.6902555107215982
0,4,0.5155038759689923,0.7592592592592593,0.5886304909560723
1,0,0.6401766004415012,0.8080697928026173,0.690544558149836
1,1,0.7440546967895363,0.6826309067688378,0.7256275597833267
1,2,0.6724409448818898,0.752542372881356,0.6964713732817296
1,3,0.7863145258103241,0.7572980312287848,0.7776095774358622
1,4,0.7128146453089245,0.851963746223565,0.7545593755833166
2,0,0.4589641434262948,0.7659574468085106,0.5510621344409595
2,1,0.6154135338345864,0.7951289398280802,0.6693281556326345
2,2,0.8363821138211383,0.8687171792948237,0.8460826334632439
2,3,0.8832116788321168,0.7284533648170012,0.8367841846275821
2,4,0.8554216867469879,0.6987996999249813,0.8084350907003859
