endpoint,model,feature_set,leakage_risk,n_folds_evaluated,cindex_mean,cindex_std,cindex_min,cindex_max,cindex_mean_minus_halfsd
hepatic,rsf,baseline_plus_landmark_trends,low,15,0.7359710130938724,0.1293874325723345,0.4682170542635659,0.9180859691808597,0.6712772968077051
hepatic,xgb_cox,baseline_plus_landmark_trends,low,15,0.6240129308861889,0.11144603173609342,0.3808764940239044,0.7734939759036145,0.5682899150181422
hepatic,lgbm_binary,baseline_plus_landmark_trends,low,15,0.6697648234802487,0.11216511974030603,0.4589641434262948,0.8329278183292782,0.6136822636100957
hepatic,catboost_binary,baseline_plus_landmark_trends,low,15,0.6316069306711714,0.10387195846945979,0.4062015503875969,0.7761557177615572,0.5796709514364414
hepatic,xgb_binary,baseline_plus_landmark_trends,low,15,0.6608970213814761,0.09697063627701803,0.45976095617529883,0.8240963855421687,0.6124117032429671
death,rsf,baseline_plus_landmark_trends,low,15,0.8135913806146297,0.04860780754511937,0.7279693486590039,0.8882220555138785,0.78928747684207
death,xgb_cox,baseline_plus_landmark_trends,low,15,0.7815343539007364,0.057112152751387486,0.644955300127714,0.8829707426856714,0.7529782775250426
death,lgbm_binary,baseline_plus_landmark_trends,low,15,0.6670538143687105,0.08518476976411558,0.5315682281059063,0.8368580060422961,0.6244614294866527
death,catboost_binary,baseline_plus_landmark_trends,low,15,0.6187439650244353,0.07285247258405557,0.5288985823336968,0.7688821752265861,0.5823177287324075
death,xgb_binary,baseline_plus_landmark_trends,low,15,0.6414404785896592,0.07153479596762041,0.5417515274949084,0.8051359516616314,0.605673080605849
