endpoint,model,feature_set,leakage_risk,n_folds_evaluated,cindex_mean,cindex_std,cindex_min,cindex_max,cindex_mean_minus_halfsd
hepatic,rsf,clinical_scores_dynamic,low,15,0.634490807369665,0.0890284198696939,0.48527131782945737,0.8032128514056225,0.5899765974348181
hepatic,xgb_cox,clinical_scores_dynamic,low,15,0.6669038293173316,0.11290019001816472,0.37209302325581395,0.8102362204724409,0.6104537343082492
hepatic,lgbm_binary,clinical_scores_dynamic,low,15,0.6358898760863955,0.10199609514626844,0.4087649402390438,0.7809278350515464,0.5848918285132613
hepatic,catboost_binary,clinical_scores_dynamic,low,15,0.584270789846305,0.11290380217287747,0.42231075697211157,0.7357723577235772,0.5278188887598663
hepatic,xgb_binary,clinical_scores_dynamic,low,15,0.640735326346151,0.10629386296041429,0.40310077519379844,0.7707082833133253,0.5875883948659439
death,rsf,clinical_scores_dynamic,low,15,0.7932085304060913,0.06409037419512606,0.670061099796334,0.903954802259887,0.7611633433085283
death,xgb_cox,clinical_scores_dynamic,low,15,0.8229074496296429,0.07247063812373637,0.6862464183381088,0.9365079365079365,0.7866721305677747
death,lgbm_binary,clinical_scores_dynamic,low,15,0.6190566358593194,0.08448987478056395,0.4769503546099291,0.7719429857464366,0.5768116984690373
death,catboost_binary,clinical_scores_dynamic,low,15,0.6479817893303595,0.07009394009318551,0.5408942202835333,0.7706214689265537,0.6129348192837668
death,xgb_binary,clinical_scores_dynamic,low,15,0.6090160156259969,0.08228908084311146,0.45567375886524825,0.7376185458377239,0.5678714752044413
