repeat,fold,cindex_hepatic,cindex_death,score
0,0,0.7403350515463918,0.7175572519083969,0.7335017116549933
0,1,0.9476744186046512,0.7360890302066773,0.884198802085259
0,2,0.7127413127413127,0.8392238392238393,0.7506860706860706
0,3,0.6252032520325204,0.8192834562697576,0.6834273133036914
0,4,0.5069767441860465,0.8247354497354498,0.6023043558508675
1,0,0.6975717439293598,0.8473282442748091,0.7424986940329945
1,1,0.7877526753864447,0.7739463601532567,0.7836107808164883
1,2,0.718503937007874,0.7192090395480226,0.7187154677699185
1,3,0.7046818727490997,0.7773251866938221,0.7264748669325163
1,4,0.7345537757437071,0.8413897280966768,0.766604561449598
2,0,0.5362549800796813,0.7429078014184397,0.5982508264813088
2,1,0.6947368421052632,0.8108882521489972,0.7295822651183833
2,2,0.8597560975609756,0.8660915228807202,0.861656725156899
2,3,0.8467153284671532,0.7863046044864227,0.8285921112729341
2,4,0.8168674698795181,0.7704426106526632,0.8029400121114616
