endpoint,model,feature_set,leakage_risk,n_folds_evaluated,cindex_mean,cindex_std,cindex_min,cindex_max,cindex_mean_minus_halfsd
hepatic,rsf,first_2y,low,15,0.7363512855089447,0.10622226458909347,0.5147286821705427,0.9186046511627907,0.6832401532143979
hepatic,xgb_cox,first_2y,low,15,0.6621652683811653,0.12995672536139427,0.4232558139534884,0.8088662790697675,0.5971869057004682
hepatic,lgbm_binary,first_2y,low,15,0.6866673133837807,0.09200989152928361,0.5286821705426357,0.8561046511627907,0.640662367619139
hepatic,catboost_binary,first_2y,low,15,0.6737885027846591,0.12602635920367347,0.40310077519379844,0.8575581395348837,0.6107753231828223
hepatic,xgb_binary,first_2y,low,15,0.6561132600693181,0.1379597281559362,0.36341463414634145,0.8524709302325582,0.5871333959913501
death,rsf,first_2y,low,15,0.8306202657753998,0.04703602215259521,0.7393617021276596,0.9039759939984996,0.8071022546991022
death,xgb_cox,first_2y,low,15,0.7914055540126679,0.04907047249655097,0.7033957033957033,0.88113413304253,0.7668703177643924
death,lgbm_binary,first_2y,low,15,0.7015863860787657,0.050055174704233416,0.6137135098438561,0.8157099697885196,0.6765587987266489
death,catboost_binary,first_2y,low,15,0.7060196400395654,0.07131188333170126,0.5648148148148148,0.8109833971902938,0.6703636983737148
death,xgb_binary,first_2y,low,15,0.7119533764254043,0.06179590642514162,0.5940257976917854,0.8383685800604229,0.6810554232128335
