repeat,fold,cindex_hepatic,cindex_death,score
0,0,0.680090206185567,0.7306434023991276,0.6952561650496352
0,1,0.9585755813953488,0.6359300476947536,0.8617819212851702
0,2,0.7274131274131274,0.7962577962577962,0.748066528066528
0,3,0.7333333333333333,0.7913593256059009,0.7507411310151035
0,4,0.6248062015503876,0.8425925925925926,0.690142118863049
1,0,0.7262693156732892,0.8407851690294439,0.7606240716801356
1,1,0.7217598097502973,0.7164750957854407,0.7201743955608402
1,2,0.8212598425196851,0.7096045197740113,0.7877632456959829
1,3,0.7394957983193278,0.7331975560081466,0.7376063256259735
1,4,0.8112128146453089,0.824773413897281,0.8152809944209005
2,0,0.6103585657370518,0.6808510638297872,0.6315063151648724
2,1,0.7233082706766917,0.7843839541547278,0.7416309757201025
2,2,0.931910569105691,0.8364591147786947,0.9032751328075921
2,3,0.8888888888888888,0.6788665879574971,0.8258821986094712
2,4,0.7751004016064257,0.7674418604651163,0.7728028392640328
