repeat,fold,cindex_hepatic,cindex_death,score
0,0,0.680090206185567,0.7786259541984732,0.7096509305894388
0,1,0.8982558139534884,0.78060413354531,0.8629603098310348
0,2,0.6965250965250965,0.7920997920997921,0.7251975051975051
0,3,0.824390243902439,0.8187565858798735,0.8227001464956694
0,4,0.6434108527131783,0.876984126984127,0.7134828349944629
1,0,0.6563649742457689,0.871319520174482,0.7208513380243828
1,1,0.7092746730083235,0.7279693486590039,0.7148830757035276
1,2,0.7755905511811023,0.7694915254237288,0.7737608434538903
1,3,0.8943577430972389,0.7922606924643585,0.8637286279073748
1,4,0.8432494279176201,0.8912386706948641,0.8576462007507932
2,0,0.5944223107569722,0.7730496453900709,0.6480105111469018
2,1,0.7669172932330827,0.7206303724928367,0.7530312170110087
2,2,0.8678861788617886,0.873218304576144,0.8694858165760952
2,3,0.8223844282238443,0.8193624557260921,0.8214778364745187
2,4,0.7943775100401607,0.8334583645911477,0.8061017664054568
