endpoint,model,feature_set,leakage_risk,n_folds_evaluated,cindex_mean,cindex_std,cindex_min,cindex_max,cindex_mean_minus_halfsd
hepatic,rsf,labs_longitudinal_only,moderate,15,0.6860919441352096,0.10703025735238218,0.5231788079470199,0.875,0.6325768154590184
hepatic,xgb_cox,labs_longitudinal_only,moderate,15,0.7375627895053932,0.1263553057088515,0.49163346613545816,0.9267734553775744,0.6743851366509674
hepatic,lgbm_binary,labs_longitudinal_only,moderate,15,0.7156388107233237,0.09398792123464572,0.5410852713178295,0.9142441860465116,0.6686448501060008
hepatic,catboost_binary,labs_longitudinal_only,moderate,15,0.7229433847034772,0.07677882751721714,0.537984496124031,0.8273092369477911,0.6845539709448686
hepatic,xgb_binary,labs_longitudinal_only,moderate,15,0.7332339018476633,0.08430478414416631,0.48992248062015503,0.8670058139534884,0.6910815097755802
death,rsf,labs_longitudinal_only,moderate,15,0.8574815324485048,0.039973067652168924,0.7960741548527808,0.9232804232804233,0.8374949986224203
death,xgb_cox,labs_longitudinal_only,moderate,15,0.8478532068144919,0.043899192208345705,0.7736389684813754,0.921928038017651,0.825903610710319
death,lgbm_binary,labs_longitudinal_only,moderate,15,0.7151578397733709,0.07347699909700796,0.5916905444126075,0.8912386706948641,0.6784193402248669
death,catboost_binary,labs_longitudinal_only,moderate,15,0.6977867205932058,0.07336249502642582,0.6103151862464183,0.9063444108761329,0.6611054730799929
death,xgb_binary,labs_longitudinal_only,moderate,15,0.6986586453616191,0.08092513918338838,0.5644699140401146,0.8821752265861027,0.658196075769925
