endpoint,model,feature_set,leakage_risk,n_folds_evaluated,cindex_mean,cindex_std,cindex_min,cindex_max,cindex_mean_minus_halfsd
hepatic,rsf,longitudinal_no_followup_proxies,moderate,15,0.7933273374328346,0.1180904842441685,0.5879323031640913,0.9583333333333334,0.7342820953107503
hepatic,xgb_cox,longitudinal_no_followup_proxies,moderate,15,0.754211581405414,0.12206159122034244,0.48764940239043825,0.9126016260162602,0.6931807857952428
hepatic,lgbm_binary,longitudinal_no_followup_proxies,moderate,15,0.7542106136158662,0.1097617998677857,0.5876288659793815,0.9400406504065041,0.6993297136819733
hepatic,catboost_binary,longitudinal_no_followup_proxies,moderate,15,0.7456433779510168,0.10517275592758814,0.587218045112782,0.9069767441860465,0.6930569999872227
hepatic,xgb_binary,longitudinal_no_followup_proxies,moderate,15,0.7498343564325808,0.11322993400630256,0.5720930232558139,0.9237804878048781,0.6932193894294295
death,rsf,longitudinal_no_followup_proxies,moderate,15,0.8706968181104157,0.03472438136123841,0.8124318429661941,0.9204801200300075,0.8533346274297965
death,xgb_cox,longitudinal_no_followup_proxies,moderate,15,0.8664592721345977,0.031823958641201126,0.8239778239778239,0.9417989417989417,0.8505472928139972
death,lgbm_binary,longitudinal_no_followup_proxies,moderate,15,0.7699102443711382,0.060826384884221193,0.6418338108882522,0.8942598187311178,0.7394970519290276
death,catboost_binary,longitudinal_no_followup_proxies,moderate,15,0.7251258973678484,0.06961829718529741,0.6031518624641834,0.8731117824773413,0.6903167487751997
death,xgb_binary,longitudinal_no_followup_proxies,moderate,15,0.7581238946845296,0.06460311661882302,0.6648936170212766,0.8867069486404834,0.7258223363751181
