repeat,fold,cindex_hepatic,cindex_death,score
0,0,0.7474226804123711,0.8391494002181025,0.7749406963540906
0,1,0.9505813953488372,0.8600953895071543,0.9234355935963323
0,2,0.7428571428571429,0.9293139293139293,0.7987941787941788
0,3,0.8203252032520325,0.9399367755532139,0.856208674942387
0,4,0.5968992248062015,0.9391534391534392,0.6995754891103727
1,0,0.6460632818248713,0.9247546346782988,0.7296706876808994
1,1,0.7954815695600476,0.8722860791826309,0.8185229224468225
1,2,0.8480314960629921,0.8790960451977401,0.8573508608034164
1,3,0.9195678271308524,0.9076714188730483,0.9159989046535111
1,4,0.8592677345537757,0.9350453172205438,0.8820010093538061
2,0,0.5848605577689243,0.8971631205673759,0.6785513266084597
2,1,0.7646616541353384,0.8696275071633238,0.7961514100437339
2,2,0.9634146341463414,0.9534883720930233,0.9604367555303459
2,3,0.9124087591240876,0.8902007083825265,0.9057463439016191
2,4,0.9172690763052209,0.9118529632408102,0.9156442423858976
