endpoint,model,feature_set,leakage_risk,n_folds_evaluated,cindex_mean,cindex_std,cindex_min,cindex_max,cindex_mean_minus_halfsd
hepatic,rsf,current_state_v2,moderate-high,15,0.8185371124724269,0.11347200550987734,0.5968992248062015,0.9552845528455285,0.7618011097174883
hepatic,xgb_cox,current_state_v2,moderate-high,15,0.7580425154866025,0.14303240236155404,0.47019867549668876,0.9410569105691057,0.6865263143058254
hepatic,xgb_aft,current_state_v2,moderate-high,15,0.7824951086391062,0.11505961930461144,0.5577630610743194,0.926829268292683,0.7249652989868005
hepatic,lgbm_binary,current_state_v2,moderate-high,15,0.748232604731154,0.10821532934308625,0.5721115537848606,0.9280523255813954,0.6941249400596109
hepatic,catboost_binary,current_state_v2,moderate-high,15,0.7408522056360958,0.11391955149819204,0.5808764940239044,0.9186046511627907,0.6838924298869997
hepatic,xgb_binary,current_state_v2,moderate-high,15,0.7581304745148538,0.10713519671443629,0.5782945736434109,0.9287790697674418,0.7045628761576357
hepatic,rsf,current_state_v2,moderate-high,15,0.8248837735870007,0.1171704953808478,0.5960264900662252,0.9552845528455285,0.7662985258965768
hepatic,xgb_cox,current_state_v2,moderate-high,15,0.7537139045991814,0.14608109643505518,0.46693227091633466,0.9502032520325203,0.6806733563816538
hepatic,xgb_aft,current_state_v2,moderate-high,15,0.7824951086391062,0.11505961930461144,0.5577630610743194,0.926829268292683,0.7249652989868005
hepatic,lgbm_binary,current_state_v2,moderate-high,15,0.7544595326896116,0.10563057347486154,0.5577689243027888,0.9273255813953488,0.7016442459521809
hepatic,catboost_binary,current_state_v2,moderate-high,15,0.7348220904718599,0.11355969514752949,0.5561752988047809,0.9149709302325582,0.6780422428980951
hepatic,xgb_binary,current_state_v2,moderate-high,15,0.7603547672322067,0.11127165677049158,0.5705426356589147,0.9375,0.7047189388469609
death,rsf,current_state_v2,moderate-high,15,0.9301590260847906,0.019484205989394942,0.8946259220231823,0.9722799722799723,0.9204169230900932
death,xgb_cox,current_state_v2,moderate-high,15,0.9357705967857599,0.024993657803813664,0.8724928366762178,0.9683751363140676,0.9232737678838531
death,xgb_aft,current_state_v2,moderate-high,15,0.919188385575083,0.026981583357615125,0.8582333696837514,0.9603174603174603,0.9056975938962755
death,lgbm_binary,current_state_v2,moderate-high,15,0.7714604346596056,0.05547526154723488,0.6948424068767909,0.8912228057014253,0.7437228038859881
death,catboost_binary,current_state_v2,moderate-high,15,0.7524362853387809,0.04875291455985388,0.670487106017192,0.8529632408102026,0.7280598280588539
death,xgb_binary,current_state_v2,moderate-high,15,0.7712857440915523,0.05131821786612895,0.673352435530086,0.8694673668417104,0.7456266351584878
death,rsf,current_state_v2,moderate-high,15,0.9317644875372976,0.02145921668935641,0.8851422550052687,0.9749182115594329,0.9210348791926194
death,xgb_cox,current_state_v2,moderate-high,15,0.9398804695613212,0.024068161385061116,0.8796561604584527,0.9770992366412213,0.9278463888687907
death,xgb_aft,current_state_v2,moderate-high,15,0.9188478151195699,0.0268294798835361,0.8582333696837514,0.9603174603174603,0.9054330751778019
death,lgbm_binary,current_state_v2,moderate-high,15,0.7717037831864866,0.05691357647088895,0.6819484240687679,0.8927231807951987,0.7432469949510421
death,catboost_binary,current_state_v2,moderate-high,15,0.7511410939679056,0.05916077500433586,0.6418338108882522,0.854463615903976,0.7215607064657377
death,xgb_binary,current_state_v2,moderate-high,15,0.7622588041286036,0.05534961174085625,0.6418338108882522,0.8754688672168042,0.7345839982581754
