feature,importance,suspicious
fibrotest_BM_2_last,3.6730867927560396,False
fibrotest_BM_2_min,3.525624509546679,False
ast_alt_ratio_latest,3.412184559568773,False
fibrotest_BM_2_std,3.4097450099592814,False
fibrotest_BM_2_delta,3.3679699772561547,False
fibrotest_BM_2_max,3.039442324881781,False
Age_v1,2.974782635728178,False
fibs_stiffness_med_BM_1_max,2.8951079119354404,False
fib4_latest,2.8146465451246856,False
aixp_aix_result_BM_3_last,2.7433245682296006,False
fibs_stiffness_med_BM_1_slope,2.723439846315866,False
fibs_stiffness_med_BM_1_min,2.5799168534321524,False
ast_alt_ratio_v2,2.5673953366187794,False
fibs_stiffness_med_BM_1_mean,2.345664968626677,False
apri_v2,2.3361751774828754,False
T2DM,2.3146691892936713,False
aixp_aix_result_BM_3_max,2.1924937443078862,False
fibs_stiffness_med_BM_1_last,1.9708109618404477,False
ast_alt_ratio_v1,1.9517482071844,False
gender,1.9384111755528106,False
Hypertension,1.9080992316076406,False
aixp_aix_result_BM_3_slope,1.8658184580621806,False
ast_alt_ratio_slope,1.8611320789895476,False
fibs_stiffness_med_BM_1_delta,1.855485587915676,False
fibs_stiffness_med_BM_1_first,1.8039538968888578,False
apri_latest,1.772208749154754,False
fibrotest_BM_2_median,1.7372532787659436,False
fibs_stiffness_med_BM_1_std,1.7210401028340068,False
aixp_aix_result_BM_3_min,1.6939620071586938,False
fibs_stiffness_med_BM_1_median,1.6789298965487807,False
fib4_slope,1.5564521041786694,False
aixp_aix_result_BM_3_mean,1.5545725535382657,False
aixp_aix_result_BM_3_first,1.543946656985032,False
ast_alt_ratio_delta,1.509965686492104,False
aixp_aix_result_BM_3_rel_delta,1.483222670035134,False
aixp_aix_result_BM_3_std,1.4668165866393745,False
aixp_aix_result_BM_3_median,1.4196403776944033,False
fibrotest_BM_2_mean,1.3745823566512385,False
fibrotest_BM_2_rel_delta,1.2992073656859904,False
Dyslipidaemia,1.2990259361528131,False
fibrotest_BM_2_slope,1.2893063225052226,False
fib4_v2,1.2534160078725336,False
fib4_delta,1.2153998170364075,False
ast_alt_ratio_v3,1.2122645253019966,False
fibrotest_BM_2_first,1.1707017248299183,False
fibs_stiffness_med_BM_1_rel_delta,0.9440750932183634,False
apri_slope,0.87301117978469,False
aixp_aix_result_BM_3_delta,0.8617165986393478,False
fib4_v1,0.7991395072869272,False
bariatric_surgery_age,0.78655264272838,False
fib4_v3,0.7053688760364956,False
apri_v1,0.4632722161804805,False
apri_v3,0.46261342105581194,False
bariatric_surgery,0.39585652155292,False
apri_delta,0.3853496683492384,False
