feature,importance,suspicious
fibrotest_BM_2_std,316.0,False
ast_alt_ratio_latest,296.0,False
Age_v1,281.0,False
ast_alt_ratio_v2,273.0,False
ast_alt_ratio_v3,245.0,False
fibrotest_BM_2_slope,235.0,False
ast_alt_ratio_slope,235.0,False
fibs_stiffness_med_BM_1_std,232.0,False
apri_latest,216.0,False
ast_alt_ratio_delta,215.0,False
fibrotest_BM_2_last,211.0,False
fibs_stiffness_med_BM_1_slope,210.0,False
fibrotest_BM_2_delta,204.0,False
fibs_stiffness_med_BM_1_min,196.0,False
fib4_latest,192.0,False
fibs_stiffness_med_BM_1_delta,189.0,False
aixp_aix_result_BM_3_first,186.0,False
aixp_aix_result_BM_3_last,183.0,False
fibs_stiffness_med_BM_1_last,173.0,False
fibs_stiffness_med_BM_1_rel_delta,170.0,False
ast_alt_ratio_v1,170.0,False
fibs_stiffness_med_BM_1_median,167.0,False
fibrotest_BM_2_max,155.0,False
fibrotest_BM_2_first,143.0,False
fibs_stiffness_med_BM_1_first,139.0,False
aixp_aix_result_BM_3_max,136.0,False
fibrotest_BM_2_rel_delta,135.0,False
aixp_aix_result_BM_3_rel_delta,134.0,False
fibs_stiffness_med_BM_1_max,121.0,False
Dyslipidaemia,113.0,False
aixp_aix_result_BM_3_min,111.0,False
fibs_stiffness_med_BM_1_mean,104.0,False
aixp_aix_result_BM_3_slope,100.0,False
fibrotest_BM_2_mean,93.0,False
fibrotest_BM_2_median,88.0,False
apri_v2,88.0,False
aixp_aix_result_BM_3_std,87.0,False
apri_delta,87.0,False
aixp_aix_result_BM_3_delta,82.0,False
aixp_aix_result_BM_3_mean,78.0,False
fibrotest_BM_2_min,69.0,False
fib4_v2,63.0,False
apri_slope,56.0,False
Hypertension,49.0,False
apri_v3,48.0,False
fib4_delta,48.0,False
bariatric_surgery_age,47.0,False
T2DM,46.0,False
aixp_aix_result_BM_3_median,45.0,False
fib4_v3,42.0,False
fib4_v1,34.0,False
apri_v1,30.0,False
fib4_slope,26.0,False
bariatric_surgery,19.0,False
gender,6.0,False
