feature,importance,suspicious
Age_v1,178.0,False
fibs_stiffness_med_BM_1_std,154.0,False
BMI_slope,127.0,False
fibs_stiffness_med_BM_1_last,124.0,False
triglyc_slope,121.0,False
ast_alt_ratio_latest,113.0,False
ast_alt_ratio_v1,111.0,False
fibs_stiffness_med_BM_1_min,107.0,False
Dyslipidaemia,105.0,False
aixp_aix_result_BM_3_first,98.0,False
fibrotest_BM_2_std,94.0,False
fibs_stiffness_med_BM_1_first,94.0,False
fibrotest_BM_2_delta,91.0,False
triglyc_delta,89.0,False
ggt_median,89.0,False
chol_median,86.0,False
ast_alt_ratio_v3,86.0,False
bilirubin_min,81.0,False
alt_slope,79.0,False
BMI_last,78.0,False
fibs_stiffness_med_BM_1_rel_delta,77.0,False
fibrotest_BM_2_last,77.0,False
gluc_fast_last,76.0,False
bilirubin_slope,75.0,False
ast_alt_ratio_v2,74.0,False
fib4_latest,72.0,False
aixp_aix_result_BM_3_min,70.0,False
triglyc_std,70.0,False
ast_std,69.0,False
ast_min,68.0,False
alt_rel_delta,68.0,False
ast_alt_ratio_delta,67.0,False
fibs_stiffness_med_BM_1_median,67.0,False
gluc_fast_first,66.0,False
ggt_slope,66.0,False
BMI_std,65.0,False
gluc_fast_min,64.0,False
ggt_rel_delta,62.0,False
BMI_delta,61.0,False
alt_median,60.0,False
alt_min,57.0,False
aixp_aix_result_BM_3_max,57.0,False
gluc_fast_slope,56.0,False
alt_delta,56.0,False
bilirubin_delta,54.0,False
ggt_last,53.0,False
alt_first,53.0,False
BMI_rel_delta,51.0,False
ast_max,51.0,False
fibrotest_BM_2_first,50.0,False
chol_std,50.0,False
fibs_stiffness_med_BM_1_mean,49.0,False
fibs_stiffness_med_BM_1_slope,49.0,False
fibrotest_BM_2_slope,48.0,False
ast_first,47.0,False
aixp_aix_result_BM_3_last,47.0,False
ast_delta,46.0,False
fibrotest_BM_2_max,45.0,False
fibs_stiffness_med_BM_1_max,45.0,False
chol_min,45.0,False
ggt_first,45.0,False
ggt_delta,44.0,False
aixp_aix_result_BM_3_mean,44.0,False
triglyc_first,43.0,False
fibs_stiffness_med_BM_1_delta,43.0,False
bilirubin_std,43.0,False
bilirubin_first,41.0,False
BMI_max,40.0,False
fib4_v2,39.0,False
BMI_min,39.0,False
apri_v2,39.0,False
fibs_stiffness_med_BM_1_miss_rate,38.0,False
gluc_fast_max,38.0,False
BMI_first,38.0,False
BMI_median,37.0,False
ast_last,36.0,False
chol_mean,36.0,False
T2DM,35.0,False
ggt_mean,34.0,False
BMI_mean,33.0,False
triglyc_rel_delta,33.0,False
fibrotest_BM_2_min,31.0,False
bilirubin_mean,30.0,False
triglyc_min,30.0,False
bilirubin_last,30.0,False
bilirubin_median,29.0,False
fibrotest_BM_2_rel_delta,29.0,False
plt_min,28.0,False
chol_last,28.0,False
gluc_fast_mean,28.0,False
apri_v1,27.0,False
aixp_aix_result_BM_3_delta,27.0,False
ast_alt_ratio_slope,27.0,False
ggt_min,26.0,False
triglyc_last,26.0,False
chol_delta,26.0,False
chol_slope,25.0,False
gluc_fast_std,25.0,False
bilirubin_rel_delta,24.0,False
bilirubin_max,24.0,False
aixp_aix_result_BM_3_median,24.0,False
fibrotest_BM_2_mean,24.0,False
gluc_fast_miss_rate,23.0,False
aixp_aix_result_BM_3_rel_delta,23.0,False
plt_delta,23.0,False
Hypertension,22.0,False
alt_mean,22.0,False
ggt_max,22.0,False
fibrotest_BM_2_median,22.0,False
aixp_aix_result_BM_3_slope,21.0,False
ast_median,21.0,False
plt_slope,21.0,False
chol_first,21.0,False
plt_max,21.0,False
triglyc_median,21.0,False
gluc_fast_rel_delta,20.0,False
ast_mean,20.0,False
ast_slope,20.0,False
triglyc_max,19.0,False
apri_latest,19.0,False
alt_std,19.0,False
alt_last,19.0,False
alt_miss_rate,18.0,False
gluc_fast_median,18.0,False
ggt_std,18.0,False
plt_last,17.0,False
ast_rel_delta,17.0,False
apri_v3,17.0,False
aixp_aix_result_BM_3_std,16.0,False
BMI_miss_rate,15.0,False
chol_max,15.0,False
gluc_fast_delta,14.0,False
fib4_delta,13.0,False
plt_std,12.0,False
plt_first,11.0,False
plt_mean,11.0,False
plt_rel_delta,9.0,False
apri_slope,9.0,False
chol_rel_delta,8.0,False
triglyc_mean,8.0,False
fib4_v3,6.0,False
plt_miss_rate,6.0,False
fib4_slope,6.0,False
bariatric_surgery_age,5.0,False
bariatric_surgery,5.0,False
ast_miss_rate,5.0,False
alt_max,5.0,False
fib4_v1,5.0,False
apri_delta,4.0,False
triglyc_miss_rate,4.0,False
aixp_aix_result_BM_3_miss_rate,3.0,False
chol_miss_rate,3.0,False
bilirubin_miss_rate,3.0,False
plt_median,3.0,False
ggt_miss_rate,1.0,False
gender,0.0,False
fibrotest_BM_2_miss_rate,0.0,False
