feature,shap_mean_abs,suspicious
Age_v1,0.9329557,False
ast_delta,0.50012904,False
BMI_slope,0.47817275,False
bilirubin_slope,0.47794417,False
chol_rel_delta,0.46025977,False
plt_slope,0.42220932,False
aixp_aix_result_BM_3_slope,0.37203306,False
fibrotest_BM_2_std,0.36521897,False
fibrotest_BM_2_min,0.31422877,False
alt_slope,0.22288387,False
triglyc_first,0.20410481,False
ggt_slope,0.18473226,False
bilirubin_std,0.17625967,False
fibs_stiffness_med_BM_1_min,0.13837922,False
alt_std,0.13220923,False
fibs_stiffness_med_BM_1_slope,0.12755883,False
ast_max,0.12707146,False
gluc_fast_min,0.12693669,False
plt_median,0.12397163,False
aixp_aix_result_BM_3_min,0.11626909,False
bilirubin_max,0.11428178,False
alt_mean,0.10792101,False
ggt_first,0.10746695,False
fibrotest_BM_2_first,0.10080889,False
ast_slope,0.09829331,False
BMI_rel_delta,0.09269565,False
chol_first,0.0926533,False
fibrotest_BM_2_delta,0.09157841,False
fibrotest_BM_2_slope,0.08611092,False
fibs_stiffness_med_BM_1_median,0.08299215,False
triglyc_rel_delta,0.08054779,False
BMI_max,0.07834913,False
fibrotest_BM_2_median,0.07716355,False
gluc_fast_last,0.07651155,False
chol_slope,0.07343188,False
triglyc_delta,0.07173243,False
BMI_std,0.07084448,False
fibrotest_BM_2_rel_delta,0.07014368,False
ast_min,0.06938904,False
triglyc_min,0.068675995,False
plt_std,0.06849177,False
BMI_delta,0.068274304,False
plt_max,0.067410596,False
chol_std,0.06721633,False
gluc_fast_slope,0.06600842,False
fibrotest_BM_2_mean,0.06553015,False
alt_max,0.06552627,False
alt_delta,0.06478948,False
ggt_max,0.06223471,False
plt_mean,0.061073955,False
alt_rel_delta,0.059664663,False
aixp_aix_result_BM_3_last,0.05715919,False
bilirubin_delta,0.056584146,False
triglyc_max,0.053194527,False
gluc_fast_median,0.053078644,False
bilirubin_last,0.052879475,False
ast_mean,0.05082462,False
fibrotest_BM_2_max,0.049629036,False
fibrotest_BM_2_last,0.049434178,False
bilirubin_median,0.047894165,False
aixp_aix_result_BM_3_max,0.04719682,False
aixp_aix_result_BM_3_median,0.046366993,False
aixp_aix_result_BM_3_std,0.04620395,False
triglyc_median,0.045746896,False
ggt_min,0.04499279,False
chol_last,0.0444373,False
bilirubin_min,0.042673945,False
gluc_fast_rel_delta,0.042004727,False
alt_median,0.041116815,False
triglyc_std,0.041115828,False
aixp_aix_result_BM_3_mean,0.041098654,False
triglyc_slope,0.040650554,False
triglyc_last,0.04056084,False
plt_last,0.039554827,False
chol_max,0.039104156,False
BMI_first,0.0367625,False
bilirubin_rel_delta,0.036634974,False
aixp_aix_result_BM_3_rel_delta,0.035311703,False
bilirubin_first,0.03502845,False
BMI_last,0.034888,False
ast_last,0.034839693,False
bilirubin_mean,0.03342563,False
gluc_fast_std,0.03327322,False
plt_first,0.03308596,False
chol_delta,0.032544486,False
alt_first,0.030098457,False
aixp_aix_result_BM_3_first,0.02991738,False
plt_min,0.029602207,False
gluc_fast_mean,0.02894442,False
gluc_fast_max,0.028247247,False
ggt_std,0.02781684,False
BMI_min,0.026881706,False
ggt_last,0.026659584,False
aixp_aix_result_BM_3_delta,0.02522222,False
ast_median,0.024150765,False
fibs_stiffness_med_BM_1_last,0.02343197,False
ast_first,0.022383759,False
gluc_fast_delta,0.021618593,False
fibs_stiffness_med_BM_1_delta,0.019982044,False
plt_delta,0.019478934,False
BMI_mean,0.01883331,False
alt_min,0.01857758,False
BMI_median,0.018372638,False
fibs_stiffness_med_BM_1_mean,0.018367192,False
triglyc_mean,0.01816196,False
ggt_mean,0.016994547,False
fibs_stiffness_med_BM_1_max,0.016659942,False
gluc_fast_first,0.015694961,False
chol_mean,0.014795398,False
plt_rel_delta,0.014357599,False
chol_min,0.013439972,False
ggt_delta,0.012803244,False
ggt_rel_delta,0.01262281,False
Hypertension,0.012536148,False
fibs_stiffness_med_BM_1_first,0.012457377,False
alt_last,0.01204951,False
fibs_stiffness_med_BM_1_std,0.011762043,False
fibs_stiffness_med_BM_1_rel_delta,0.01149505,False
ast_std,0.010834792,False
bariatric_surgery,0.010723077,False
ggt_median,0.008999173,False
ast_rel_delta,0.00716319,False
chol_median,0.004890695,False
bariatric_surgery_age,0.004164975,False
Dyslipidaemia,0.0021950977,False
gender,0.000865443,False
T2DM,0.0,False
