feature,shap_mean_abs,suspicious
BMI_slope,0.4717352,False
fibs_stiffness_med_BM_1_first,0.41255987,False
fibs_stiffness_med_BM_1_last,0.35049888,False
chol_first,0.29524717,False
alt_first,0.28348297,False
gluc_fast_slope,0.28164712,False
triglyc_std,0.27647975,False
plt_last,0.2636703,False
bilirubin_rel_delta,0.2371869,False
Dyslipidaemia,0.22955602,False
Age_v1,0.21530579,False
alt_mean,0.21005824,False
ggt_min,0.17743239,False
ggt_first,0.1718936,False
gluc_fast_max,0.17025131,False
fibs_stiffness_med_BM_1_mean,0.16835286,False
alt_min,0.16823575,False
ast_median,0.16628982,False
ast_slope,0.15754366,False
fibs_stiffness_med_BM_1_median,0.15733574,False
ast_last,0.15533297,False
aixp_aix_result_BM_3_last,0.15147668,False
alt_max,0.14826003,False
fibrotest_BM_2_delta,0.14638054,False
fibrotest_BM_2_min,0.14020437,False
fibs_stiffness_med_BM_1_slope,0.13606401,False
ast_min,0.13500303,False
bilirubin_slope,0.13184959,False
ggt_median,0.13117066,False
aixp_aix_result_BM_3_first,0.131158,False
plt_min,0.12988883,False
aixp_aix_result_BM_3_min,0.12714057,False
plt_mean,0.12657508,False
gluc_fast_last,0.123736285,False
plt_slope,0.117251955,False
alt_last,0.114204906,False
BMI_rel_delta,0.11417864,False
plt_max,0.11151037,False
fibs_stiffness_med_BM_1_rel_delta,0.103797846,False
fibs_stiffness_med_BM_1_min,0.10020012,False
aixp_aix_result_BM_3_std,0.09633289,False
aixp_aix_result_BM_3_median,0.09487063,False
gluc_fast_mean,0.08758965,False
alt_delta,0.08710563,False
triglyc_delta,0.08587918,False
fibrotest_BM_2_max,0.08381613,False
ast_mean,0.07995893,False
alt_rel_delta,0.07987323,False
plt_first,0.07569328,False
triglyc_min,0.07512652,False
Hypertension,0.07292406,False
alt_slope,0.071100496,False
fibs_stiffness_med_BM_1_delta,0.0708794,False
fibrotest_BM_2_first,0.07085755,False
fibrotest_BM_2_mean,0.06869965,False
fibs_stiffness_med_BM_1_std,0.067261524,False
ggt_last,0.066922694,False
gluc_fast_first,0.065490685,False
BMI_std,0.065181054,False
aixp_aix_result_BM_3_mean,0.0630953,False
BMI_median,0.061859373,False
bilirubin_min,0.061237786,False
T2DM,0.060902614,False
fibrotest_BM_2_std,0.059914514,False
fibrotest_BM_2_last,0.059322227,False
ggt_delta,0.05885586,False
gluc_fast_median,0.057822503,False
triglyc_rel_delta,0.05534024,False
ggt_slope,0.054438077,False
triglyc_first,0.053363044,False
alt_median,0.052988533,False
chol_median,0.05172652,False
triglyc_slope,0.048408065,False
fibrotest_BM_2_slope,0.046571117,False
ast_first,0.045726914,False
chol_mean,0.04476275,False
ast_std,0.04401821,False
aixp_aix_result_BM_3_delta,0.043778773,False
ggt_mean,0.04371322,False
BMI_delta,0.04337582,False
BMI_max,0.04224781,False
chol_last,0.042235173,False
aixp_aix_result_BM_3_slope,0.040515065,False
fibrotest_BM_2_median,0.040039547,False
BMI_last,0.038993694,False
BMI_first,0.038304515,False
gluc_fast_std,0.037139785,False
ast_max,0.037050597,False
gluc_fast_delta,0.0369077,False
chol_min,0.03520396,False
triglyc_last,0.03425321,False
bilirubin_delta,0.033903323,False
bilirubin_first,0.031926375,False
aixp_aix_result_BM_3_rel_delta,0.031924166,False
chol_max,0.03128432,False
ggt_rel_delta,0.031025343,False
triglyc_median,0.030253997,False
ggt_std,0.02881124,False
bilirubin_std,0.02848345,False
triglyc_max,0.02770425,False
gluc_fast_min,0.027563512,False
ggt_max,0.02611005,False
chol_rel_delta,0.026080398,False
chol_std,0.025793403,False
fibrotest_BM_2_rel_delta,0.025181264,False
chol_slope,0.024670007,False
ast_rel_delta,0.023957364,False
fibs_stiffness_med_BM_1_max,0.02316615,False
gender,0.022848431,False
chol_delta,0.022756493,False
plt_delta,0.02204116,False
aixp_aix_result_BM_3_max,0.02122315,False
BMI_min,0.020387439,False
plt_rel_delta,0.020345693,False
bilirubin_last,0.01987586,False
plt_std,0.016647885,False
ast_delta,0.015081382,False
alt_std,0.013801185,False
gluc_fast_rel_delta,0.013192963,False
triglyc_mean,0.012879071,False
BMI_mean,0.01171322,False
plt_median,0.0077595287,False
bilirubin_max,0.0063983793,False
bilirubin_mean,0.0060439375,False
bilirubin_median,0.0048428876,False
bariatric_surgery,0.0030885825,False
bariatric_surgery_age,0.0,False
