label,feature_set,endpoint,horizon_years,model,mode,seed,n_features,n_usable_train,n_positive_train,horizon_auc,surv_cindex_mean,surv_cindex_std,surv_cindex_min,wall_seconds,rho_oof_v3,rho_test_v3
current_state_v2__hepatic__h1__lgbm_binary,current_state_v2,hepatic,1.0,lgbm_binary,exclude,0,222,1114,12,0.6002722323049002,0.6038091459180637,0.13600311513968644,0.4294820717131474,0.0,0.21517127253092086,0.253372647058637
current_state_v2__hepatic__h1__catboost_binary,current_state_v2,hepatic,1.0,catboost_binary,exclude,0,222,1114,12,0.7760133091349062,0.7068743180240056,0.10083954717662716,0.4860557768924303,0.0,0.2606551350169255,0.3097040340486415
current_state_v2__hepatic__h1__xgb_binary,current_state_v2,hepatic,1.0,xgb_binary,exclude,0,222,1114,12,0.6975196612220206,0.6690804483682175,0.11974484893753445,0.4151394422310757,0.0,0.2429241808619422,0.23768187909332997
NIT_plus_scores__hepatic__h1__lgbm_binary,NIT_plus_scores,hepatic,1.0,lgbm_binary,exclude,0,55,1114,12,0.7948427102238353,0.7186621697582912,0.13881142155218906,0.4372093023255814,0.0,0.2363332118263102,0.24993800747461795
NIT_plus_scores__hepatic__h1__catboost_binary,NIT_plus_scores,hepatic,1.0,catboost_binary,exclude,0,55,1114,12,0.6776315789473684,0.6761234004563039,0.11275147672674725,0.47808764940239046,0.0,0.28206324262564353,0.3634756529509393
NIT_plus_scores__hepatic__h1__xgb_binary,NIT_plus_scores,hepatic,1.0,xgb_binary,exclude,0,55,1114,12,0.7717029643073201,0.6911682042125451,0.11093247368060177,0.4932270916334661,0.0,0.2150079933906024,0.17320806720941045
biomarker_only__hepatic__h1__lgbm_binary,biomarker_only,hepatic,1.0,lgbm_binary,exclude,0,127,1114,12,0.6646249243799153,0.6080415302714678,0.12217334902117585,0.3730684326710817,0.0,0.21045890353729804,0.22147170572354316
biomarker_only__hepatic__h1__catboost_binary,biomarker_only,hepatic,1.0,catboost_binary,exclude,0,127,1114,12,0.6887477313974592,0.6595410508216778,0.12652256597219838,0.35856573705179284,0.0,0.28316773850529325,0.38591330052010303
biomarker_only__hepatic__h1__xgb_binary,biomarker_only,hepatic,1.0,xgb_binary,exclude,0,127,1114,12,0.7092407743496673,0.6227887445028601,0.10960798246899674,0.3784860557768924,0.0,0.22505173824325247,0.2558246020587226
v3_hepatic_schema__hepatic__h1__lgbm_binary,v3_hepatic_schema,hepatic,1.0,lgbm_binary,exclude,0,215,1114,12,0.6020114942528736,0.5952782462057336,0.140797485183986,0.4046511627906977,0.0,0.19277914481807037,0.23883627187416565
v3_hepatic_schema__hepatic__h1__catboost_binary,v3_hepatic_schema,hepatic,1.0,catboost_binary,exclude,0,215,1114,12,0.7500756200846945,0.7029891214495917,0.11578912548847174,0.46374501992031875,0.0,0.23805139245747858,0.30233120434195015
v3_hepatic_schema__hepatic__h1__xgb_binary,v3_hepatic_schema,hepatic,1.0,xgb_binary,exclude,0,215,1114,12,0.6417120387174834,0.6362133386238138,0.12492888573953713,0.3784860557768924,0.0,0.24432319841960295,0.2521077458629899
current_state_v2__hepatic__h3__lgbm_binary,current_state_v2,hepatic,3.0,lgbm_binary,exclude,0,222,851,21,0.774411933448078,0.7309956022881328,0.1486604818434356,0.46431199411331864,0.0,0.43050399850405846,0.5753304312586924
current_state_v2__hepatic__h3__catboost_binary,current_state_v2,hepatic,3.0,catboost_binary,exclude,0,222,851,21,0.7730349971313827,0.7399067552822141,0.13318849027074825,0.49083665338645416,0.0,0.48456675238623387,0.6180267921864684
current_state_v2__hepatic__h3__xgb_binary,current_state_v2,hepatic,3.0,xgb_binary,exclude,0,222,851,21,0.7768215720022948,0.7173560823992329,0.11668051756962355,0.5158204562178073,0.0,0.4758114245232081,0.5987358598379124
NIT_plus_scores__hepatic__h3__lgbm_binary,NIT_plus_scores,hepatic,3.0,lgbm_binary,exclude,0,55,851,21,0.8078600114744692,0.7617795853585954,0.10232038296406518,0.6209302325581395,0.0,0.39072716210386865,0.3963938424774686
NIT_plus_scores__hepatic__h3__catboost_binary,NIT_plus_scores,hepatic,3.0,catboost_binary,exclude,0,55,851,21,0.7173264486517499,0.711834143438151,0.1218774529882106,0.5534883720930233,0.0,0.4235066933949148,0.4660460120890181
NIT_plus_scores__hepatic__h3__xgb_binary,NIT_plus_scores,hepatic,3.0,xgb_binary,exclude,0,55,851,21,0.7833620195065978,0.7382865456469265,0.11217884955509323,0.5612403100775194,0.0,0.3981230764828996,0.41386669736168696
biomarker_only__hepatic__h3__lgbm_binary,biomarker_only,hepatic,3.0,lgbm_binary,exclude,0,127,851,21,0.7372920252438324,0.7169096981119598,0.1195417285238873,0.42788844621513944,0.0,0.4150623704044046,0.55407317845032
biomarker_only__hepatic__h3__catboost_binary,biomarker_only,hepatic,3.0,catboost_binary,exclude,0,127,851,21,0.7101549053356282,0.7080977416261615,0.12367115170287567,0.4756972111553785,0.0,0.4607324693399394,0.5831221465205227
