hep_scheme,dea_scheme,hep_oof,death_oof,weighted_oof,hep_fold_std,hep_fold_min,dea_fold_std,dea_fold_min,delta_weighted_vs_p10,delta_hep_vs_p10,delta_dea_vs_p10,hep_neg_total,dea_neg_total,hep_neg_components,dea_neg_components,hep_max_abs_weight,dea_max_abs_weight
F_greedy_sub,F_greedy_sub,0.8500148794762424,0.9537190082644628,0.8811261181127085,0.10840160154451017,0.6,0.012349294597071831,0.9269356597600873,0.0,0.0,0.0,-0.0,-0.0,0,0,1.0,1.0
F_greedy_sub,B_neg_005,0.8500148794762424,0.951981351981352,0.8806048212277753,0.10840160154451017,0.6,0.012268273264813499,0.9302071973827699,-0.0005212968849331867,0.0,-0.0017376562831107334,-0.0,0.2999999999999997,0,6,1.0,0.4999999999999998
F_greedy_sub,A_nonneg,0.8500148794762424,0.9515575333757152,0.8804776756460841,0.10840160154451017,0.6,0.012796929357159108,0.9269356597600873,-0.0006484424666243216,0.0,-0.0021614748887475166,-0.0,-0.0,0,0,1.0,0.5
F_greedy_sub,C_neg_010,0.8500148794762424,0.9507310870947234,0.8802297417617866,0.10840160154451017,0.6,0.012149233520176704,0.9302071973827699,-0.0008963763509218792,0.0,-0.002987921169739338,-0.0,0.4999999999999997,0,5,1.0,0.5
A_nonneg,F_greedy_sub,0.8486591938630427,0.9537190082644628,0.8801771381834687,0.10863602583824522,0.5953488372093023,0.012349294597071831,0.9269356597600873,-0.0009489799292398127,-0.001355685613199764,0.0,-0.0,-0.0,0,0,0.4999999999999999,1.0
A_nonneg,B_neg_005,0.8486591938630427,0.951981351981352,0.8796558412985354,0.10863602583824522,0.5953488372093023,0.012268273264813499,0.9302071973827699,-0.0014702768141731104,-0.001355685613199764,-0.0017376562831107334,-0.0,0.2999999999999997,0,6,0.4999999999999999,0.4999999999999998
A_nonneg,A_nonneg,0.8486591938630427,0.9515575333757152,0.8795286957168444,0.10863602583824522,0.5953488372093023,0.012796929357159108,0.9269356597600873,-0.0015974223958640232,-0.001355685613199764,-0.0021614748887475166,-0.0,-0.0,0,0,0.4999999999999999,0.5
A_nonneg,C_neg_010,0.8486591938630427,0.9507310870947234,0.8792807618325469,0.10863602583824522,0.5953488372093023,0.012149233520176704,0.9302071973827699,-0.0018453562801615808,-0.001355685613199764,-0.002987921169739338,-0.0,0.4999999999999997,0,5,0.4999999999999999,0.5
F_greedy_sub,D_neg_020,0.8500148794762424,0.9322737868192413,0.8746925516791421,0.10840160154451017,0.6,0.030096272869505124,0.8716012084592145,-0.006433566433566407,0.0,-0.02144522144522143,-0.0,0.9999999999999989,0,5,1.0,0.5
A_nonneg,D_neg_020,0.8486591938630427,0.9322737868192413,0.8737435717499022,0.10863602583824522,0.5953488372093023,0.030096272869505124,0.8716012084592145,-0.007382546362806219,-0.001355685613199764,-0.02144522144522143,-0.0,0.9999999999999989,0,5,0.4999999999999999,0.5
B_neg_005,F_greedy_sub,0.8354660582614158,0.9537190082644628,0.8709419432623299,0.08623268699421538,0.6325581395348837,0.012349294597071831,0.9269356597600873,-0.010184174850378591,-0.01454882121482659,0.0,0.49999999999999944,-0.0,10,0,0.5,1.0
B_neg_005,B_neg_005,0.8354660582614158,0.951981351981352,0.8704206463773967,0.08623268699421538,0.6325581395348837,0.012268273264813499,0.9302071973827699,-0.010705471735311778,-0.01454882121482659,-0.0017376562831107334,0.49999999999999944,0.2999999999999997,10,6,0.5,0.4999999999999998
B_neg_005,A_nonneg,0.8354660582614158,0.9515575333757152,0.8702935007957056,0.08623268699421538,0.6325581395348837,0.012796929357159108,0.9269356597600873,-0.010832617317002913,-0.01454882121482659,-0.0021614748887475166,0.49999999999999944,-0.0,10,0,0.5,0.5
B_neg_005,C_neg_010,0.8354660582614158,0.9507310870947234,0.870045566911408,0.08623268699421538,0.6325581395348837,0.012149233520176704,0.9302071973827699,-0.01108055120130047,-0.01454882121482659,-0.002987921169739338,0.49999999999999944,0.4999999999999997,10,5,0.5,0.5
B_neg_005,D_neg_020,0.8354660582614158,0.9322737868192413,0.8645083768287635,0.08623268699421538,0.6325581395348837,0.030096272869505124,0.8716012084592145,-0.016617741283944998,-0.01454882121482659,-0.02144522144522143,0.49999999999999944,0.9999999999999989,10,5,0.5,0.5
C_neg_010,F_greedy_sub,0.8190325033892141,0.9537190082644628,0.8594384548517886,0.09506350988212504,0.6310077519379845,0.012349294597071831,0.9269356597600873,-0.021687663260919865,-0.030982376087028363,0.0,0.8760346846390134,-0.0,9,0,0.49999999999999994,1.0
C_neg_010,B_neg_005,0.8190325033892141,0.951981351981352,0.8589171579668553,0.09506350988212504,0.6310077519379845,0.012268273264813499,0.9302071973827699,-0.022208960145853163,-0.030982376087028363,-0.0017376562831107334,0.8760346846390134,0.2999999999999997,9,6,0.49999999999999994,0.4999999999999998
C_neg_010,A_nonneg,0.8190325033892141,0.9515575333757152,0.8587900123851644,0.09506350988212504,0.6310077519379845,0.012796929357159108,0.9269356597600873,-0.022336105727544076,-0.030982376087028363,-0.0021614748887475166,0.8760346846390134,-0.0,9,0,0.49999999999999994,0.5
C_neg_010,C_neg_010,0.8190325033892141,0.9507310870947234,0.8585420785008668,0.09506350988212504,0.6310077519379845,0.012149233520176704,0.9302071973827699,-0.022584039611841633,-0.030982376087028363,-0.002987921169739338,0.8760346846390134,0.4999999999999997,9,5,0.49999999999999994,0.5
E_ridge,F_greedy_sub,0.8173461627484045,0.9537190082644628,0.858258016403222,0.11220485835133887,0.5912350597609561,0.012349294597071831,0.9269356597600873,-0.0228681017094865,-0.03266871672783789,0.0,1.2325679002431742,-0.0,7,0,1.2012758339962362,1.0
E_ridge,B_neg_005,0.8173461627484045,0.951981351981352,0.8577367195182888,0.11220485835133887,0.5912350597609561,0.012268273264813499,0.9302071973827699,-0.023389398594419686,-0.03266871672783789,-0.0017376562831107334,1.2325679002431742,0.2999999999999997,7,6,1.2012758339962362,0.4999999999999998
E_ridge,A_nonneg,0.8173461627484045,0.9515575333757152,0.8576095739365976,0.11220485835133887,0.5912350597609561,0.012796929357159108,0.9269356597600873,-0.02351654417611082,-0.03266871672783789,-0.0021614748887475166,1.2325679002431742,-0.0,7,0,1.2012758339962362,0.5
E_ridge,C_neg_010,0.8173461627484045,0.9507310870947234,0.8573616400523001,0.11220485835133887,0.5912350597609561,0.012149233520176704,0.9302071973827699,-0.02376447806040838,-0.03266871672783789,-0.002987921169739338,1.2325679002431742,0.4999999999999997,7,5,1.2012758339962362,0.5
C_neg_010,D_neg_020,0.8190325033892141,0.9322737868192413,0.8530048884182222,0.09506350988212504,0.6310077519379845,0.030096272869505124,0.8716012084592145,-0.02812122969448627,-0.030982376087028363,-0.02144522144522143,0.8760346846390134,0.9999999999999989,9,5,0.49999999999999994,0.5
E_ridge,D_neg_020,0.8173461627484045,0.9322737868192413,0.8518244499696556,0.11220485835133887,0.5912350597609561,0.030096272869505124,0.8716012084592145,-0.029301668143052906,-0.03266871672783789,-0.02144522144522143,1.2325679002431742,0.9999999999999989,7,5,1.2012758339962362,0.5
D_neg_020,F_greedy_sub,0.7884138478325563,0.9537190082644628,0.8380053959621282,0.10250176642399023,0.5835172921265637,0.012349294597071831,0.9269356597600873,-0.04312072215058027,-0.06160103164368613,0.0,1.3422778271001554,-0.0,7,0,0.5,1.0
D_neg_020,B_neg_005,0.7884138478325563,0.951981351981352,0.837484099077195,0.10250176642399023,0.5835172921265637,0.012268273264813499,0.9302071973827699,-0.04364201903551346,-0.06160103164368613,-0.0017376562831107334,1.3422778271001554,0.2999999999999997,7,6,0.5,0.4999999999999998
D_neg_020,A_nonneg,0.7884138478325563,0.9515575333757152,0.8373569534955039,0.10250176642399023,0.5835172921265637,0.012796929357159108,0.9269356597600873,-0.04376916461720459,-0.06160103164368613,-0.0021614748887475166,1.3422778271001554,-0.0,7,0,0.5,0.5
D_neg_020,C_neg_010,0.7884138478325563,0.9507310870947234,0.8371090196112063,0.10250176642399023,0.5835172921265637,0.012149233520176704,0.9302071973827699,-0.04401709850150215,-0.06160103164368613,-0.002987921169739338,1.3422778271001554,0.4999999999999997,7,5,0.5,0.5
F_greedy_sub,E_ridge,0.8500148794762424,0.8062725153634245,0.836892170242397,0.10840160154451017,0.6,0.06707386578265898,0.6508474576271186,-0.04423394787031143,0.0,-0.14744649290103828,-0.0,1.3046103192415106,0,4,1.0,0.8803212944749492
A_nonneg,E_ridge,0.8486591938630427,0.8062725153634245,0.8359431903131571,0.10863602583824522,0.5953488372093023,0.06707386578265898,0.6508474576271186,-0.04518292779955135,-0.001355685613199764,-0.14744649290103828,-0.0,1.3046103192415106,0,4,0.4999999999999999,0.8803212944749492
D_neg_020,D_neg_020,0.7884138478325563,0.9322737868192413,0.8315718295285618,0.10250176642399023,0.5835172921265637,0.030096272869505124,0.8716012084592145,-0.04955428858414668,-0.06160103164368613,-0.02144522144522143,1.3422778271001554,0.9999999999999989,7,5,0.5,0.5
B_neg_005,E_ridge,0.8354660582614158,0.8062725153634245,0.8267079953920184,0.08623268699421538,0.6325581395348837,0.06707386578265898,0.6508474576271186,-0.05441812272069002,-0.01454882121482659,-0.14744649290103828,0.49999999999999944,1.3046103192415106,10,4,0.5,0.8803212944749492
