label,feature_set,endpoint,horizon_years,model,mode,seed,n_features,n_usable_train,n_positive_train,horizon_auc,surv_cindex_mean,surv_cindex_std,surv_cindex_min,wall_seconds,rho_oof_anchor,rho_test_anchor
current_state_v2__hepatic__h2p5__lgbm_binary,current_state_v2,hepatic,2.5,lgbm_binary,exclude,0,222,851,15,0.70103668261563,0.6802235227986642,0.12291824963841834,0.48859455481972036,1.7517127990722656,0.4954126671093257,0.5910548025484363
NIT_plus_scores__hepatic__h2p5__lgbm_binary,NIT_plus_scores,hepatic,2.5,lgbm_binary,exclude,0,55,851,15,0.7598883572567783,0.7362695499785075,0.08429858952559453,0.5844961240310077,1.0202805995941162,0.410621474348642,0.4373627885065717
biomarker_only__hepatic__h2p5__lgbm_binary,biomarker_only,hepatic,2.5,lgbm_binary,exclude,0,127,851,15,0.7225677830940989,0.6904738286545647,0.099213808083018,0.5043824701195219,1.3540987968444824,0.4398332123082308,0.5269048186708546
v3_hepatic_schema__hepatic__h2p5__lgbm_binary,v3_hepatic_schema,hepatic,2.5,lgbm_binary,exclude,0,215,851,15,0.7177830940988836,0.7000462917038653,0.11324205086222172,0.5131782945736434,1.5891313552856445,0.48262035310272855,0.5754671686317825
current_state_v2__hepatic__h3p5__lgbm_binary,current_state_v2,hepatic,3.5,lgbm_binary,exclude,0,222,713,21,0.7771813927883292,0.6881261779585358,0.13018245859297672,0.46294820717131474,1.530357837677002,0.5225394061651295,0.640384924478315
NIT_plus_scores__hepatic__h3p5__lgbm_binary,NIT_plus_scores,hepatic,3.5,lgbm_binary,exclude,0,55,713,21,0.8208092485549132,0.7477432794365638,0.1114460811171296,0.5713147410358566,1.044083833694458,0.5039231349375104,0.5722033648389414
biomarker_only__hepatic__h3p5__lgbm_binary,biomarker_only,hepatic,3.5,lgbm_binary,exclude,0,127,713,21,0.7554362785576658,0.7061303442118837,0.12243572196502386,0.46693227091633466,1.3413028717041016,0.5326073892786999,0.6599524472880196
v3_hepatic_schema__hepatic__h3p5__lgbm_binary,v3_hepatic_schema,hepatic,3.5,lgbm_binary,exclude,0,215,713,21,0.7613542526837325,0.7119664054491949,0.13644997950131402,0.44860557768924303,1.5325360298156738,0.5541248685439306,0.6792554316299506
current_state_v2__hepatic__h4p5__lgbm_binary,current_state_v2,hepatic,4.5,lgbm_binary,exclude,0,222,573,24,0.792046144505161,0.6729821776940118,0.14508958422887724,0.40618101545253865,1.345905065536499,0.4850301193933946,0.6216963162602216
NIT_plus_scores__hepatic__h4p5__lgbm_binary,NIT_plus_scores,hepatic,4.5,lgbm_binary,exclude,0,55,573,24,0.7734517304189434,0.7260853751281289,0.132535273714678,0.4828685258964143,1.0470752716064453,0.5063842078885646,0.6250676953304883
biomarker_only__hepatic__h4p5__lgbm_binary,biomarker_only,hepatic,4.5,lgbm_binary,exclude,0,127,573,24,0.7646478445658772,0.7106603180901365,0.116601709671979,0.450597609561753,1.1919212341308594,0.5374270152599373,0.6544190984565531
v3_hepatic_schema__hepatic__h4p5__lgbm_binary,v3_hepatic_schema,hepatic,4.5,lgbm_binary,exclude,0,215,573,24,0.7651032179720704,0.7179181959461693,0.14528709834075715,0.4127490039840637,1.3958044052124023,0.5562474070228989,0.6916862028364804
current_state_v2__death__h5p5__catboost_binary,current_state_v2,death,5.5,catboost_binary,exclude,0,222,491,16,0.9752631578947368,0.9065903793176521,0.04308984896454277,0.8112994350282486,7.719722509384155,0.8347027886985525,0.9189142524462472
current_state_v2__death__h5p5__xgb_binary,current_state_v2,death,5.5,xgb_binary,exclude,0,222,491,16,0.9739473684210526,0.8801864801864802,0.03678079858341206,0.8203389830508474,30.97010374069214,0.7400894876545616,0.8015570112436367
NIT_plus_scores__death__h5p5__catboost_binary,NIT_plus_scores,death,5.5,catboost_binary,exclude,0,55,491,16,0.9151315789473684,0.8460690824327188,0.04838992577714043,0.7186009538950715,3.3967316150665283,0.6487459879030166,0.6599105912406306
biomarker_only__death__h5p5__catboost_binary,biomarker_only,death,5.5,catboost_binary,exclude,0,127,491,16,0.9214473684210528,0.8658190294553931,0.04572854048641753,0.7909604519774012,5.759845018386841,0.6016432198612008,0.6938335036145923
v3_hepatic_schema__death__h5p5__catboost_binary,v3_hepatic_schema,death,5.5,catboost_binary,exclude,0,215,491,16,0.9298684210526316,0.887730451366815,0.02840412097655184,0.8169491525423729,7.75837516784668,0.7324699306701594,0.7927310830839362
v3_hepatic_schema__death__h5p5__xgb_binary,v3_hepatic_schema,death,5.5,xgb_binary,exclude,0,215,491,16,0.9406578947368421,0.8849756304301759,0.023975627462887898,0.8362480127186009,46.02071833610535,0.6893593283385937,0.759478672985782
current_state_v2__death__h6p5__catboost_binary,current_state_v2,death,6.5,catboost_binary,exclude,0,222,424,20,0.9693069306930694,0.8982411527866073,0.03388245823930489,0.8203389830508474,7.929442644119263,0.7804794395012682,0.8882818589259406
current_state_v2__death__h6p5__xgb_binary,current_state_v2,death,6.5,xgb_binary,exclude,0,222,424,20,0.9320544554455445,0.8615808433990252,0.03466464301531311,0.7774011299435029,35.35762906074524,0.7259862878895226,0.8100877218016456
NIT_plus_scores__death__h6p5__catboost_binary,NIT_plus_scores,death,6.5,catboost_binary,exclude,0,55,424,20,0.902970297029703,0.8521720703538885,0.047718129566679715,0.739268680445151,3.4268577098846436,0.6487861898119421,0.6750645134490484
biomarker_only__death__h6p5__catboost_binary,biomarker_only,death,6.5,catboost_binary,exclude,0,127,424,20,0.9242574257425742,0.8675143038779403,0.03435072336682951,0.8124293785310734,5.596127033233643,0.6282022207441771,0.7088505983309266
v3_hepatic_schema__death__h6p5__catboost_binary,v3_hepatic_schema,death,6.5,catboost_binary,exclude,0,215,424,20,0.9403465346534653,0.8957406230133503,0.025010350655852654,0.8338983050847457,7.836640119552612,0.7438265311511282,0.8049312437888563
v3_hepatic_schema__death__h6p5__xgb_binary,v3_hepatic_schema,death,6.5,xgb_binary,exclude,0,215,424,20,0.9382425742574257,0.8820936639118457,0.028379314217412393,0.8044515103338633,48.39000749588013,0.7065667422749496,0.7699940956479661
NIT_plus_scores__hepatic__h1__lgbm_binary__soft_weight,NIT_plus_scores,hepatic,1.0,lgbm_binary,soft_weight,0,55,1253,12,0.7829707225355895,0.7158185365208478,0.14069852633101193,0.45338645418326695,1.113992691040039,0.375684804211572,0.359819167306314
NIT_plus_scores__hepatic__h1__lgbm_binary__downweight,NIT_plus_scores,hepatic,1.0,lgbm_binary,downweight,0,55,1253,12,0.7127316680096694,0.670700658003505,0.12260883313183733,0.45298804780876495,1.0818455219268799,0.35005526451108276,0.35707873269664403
v3_hepatic_schema__hepatic__h2__catboost_binary__soft_weight,v3_hepatic_schema,hepatic,2.0,catboost_binary,soft_weight,0,215,1253,15,0.6926763597199785,0.7105280560790926,0.11643888367156857,0.49800796812749004,7.994463205337524,0.420054509256302,0.4903889971974574
