variant,label,endpoint,horizon,model,ci,fold_std,fold_min,rho_with_anchor_component_oof,wall_seconds
default,NIT_plus_scores__hepatic__h1__lgbm_binary,hepatic,1.0,lgbm_binary,0.7186621697582912,0.13881142155218906,0.4372093023255814,1.0,1.1595699787139893
default,v3_hepatic_schema__hepatic__h3__lgbm_binary__s4,hepatic,3.0,lgbm_binary,0.7740964851370565,0.12602214074625012,0.5397350993377483,0.9999999999999999,1.800494909286499
default,current_state_v2__death__h5__catboost_binary__s3,death,5.0,catboost_binary,0.9095147276965458,0.04837519813814611,0.7830508474576271,1.0,7.935200929641724
default,NIT_plus_scores__death__h4__catboost_binary,death,4.0,catboost_binary,0.8351345624072897,0.059532904467168225,0.7106518282988871,1.0,3.495724678039551
combined_median_impute,NIT_plus_scores__hepatic__h1__lgbm_binary,hepatic,1.0,lgbm_binary,0.6822074529643223,0.12544679649301255,0.46511627906976744,0.6509699659651828,0.9355018138885498
combined_median_impute,v3_hepatic_schema__hepatic__h3__lgbm_binary__s4,hepatic,3.0,lgbm_binary,0.7194722745759349,0.11586772356467939,0.5091979396615158,0.8537871354118641,1.4801065921783447
combined_median_impute,current_state_v2__death__h5__catboost_binary__s3,death,5.0,catboost_binary,0.8875185420639966,0.04676422394474137,0.8,0.9021695742016387,7.8383684158325195
combined_median_impute,NIT_plus_scores__death__h4__catboost_binary,death,4.0,catboost_binary,0.7990252172070353,0.06291487088771965,0.6232114467408585,0.7847856676757781,3.5613934993743896
combined_clip_1_99,NIT_plus_scores__hepatic__h1__lgbm_binary,hepatic,1.0,lgbm_binary,0.6921105710412326,0.1363299306699298,0.43784860557768923,0.9535767273454303,1.1107723712921143
combined_clip_1_99,v3_hepatic_schema__hepatic__h3__lgbm_binary__s4,hepatic,3.0,lgbm_binary,0.7647224151043217,0.12707981358994974,0.5206033848417955,0.9543725281778928,1.9102377891540527
combined_clip_1_99,current_state_v2__death__h5__catboost_binary__s3,death,5.0,catboost_binary,0.9046408137317228,0.04771541873816245,0.8011299435028248,0.9574834832366725,7.730828285217285
combined_clip_1_99,NIT_plus_scores__death__h4__catboost_binary,death,4.0,catboost_binary,0.8313625768171222,0.05757918860189276,0.6661367249602543,0.9249724656117063,3.628732919692993
