rank,feature_name,importance_value,direction,method,endpoint,component,source_artifact_or_script,caveat
1,Age_delta,0.09266976677885032,,gbsa_native_feature_importances_impurity,death,"GBSA (sksurv GradientBoostingSurvivalAnalysis, n=200, lr=0.05, max_depth=3, subs=0.8, max_features='sqrt', seed=42)",reports/explainability/scripts/compute_death_component_importance.py,"Post-hoc reference single-fit on full training labels; the submitted ensemble averages ranks across 5x10 stratified-by-hep-event CV. Impurity-based importances are biased toward high-cardinality / continuous features; treat as relative ranking, not as effect sizes. GBSA carries weight 0.15 in the final death rank."
2,Age_std,0.07985324147213989,,gbsa_native_feature_importances_impurity,death,"GBSA (sksurv GradientBoostingSurvivalAnalysis, n=200, lr=0.05, max_depth=3, subs=0.8, max_features='sqrt', seed=42)",reports/explainability/scripts/compute_death_component_importance.py,"Post-hoc reference single-fit on full training labels; the submitted ensemble averages ranks across 5x10 stratified-by-hep-event CV. Impurity-based importances are biased toward high-cardinality / continuous features; treat as relative ranking, not as effect sizes. GBSA carries weight 0.15 in the final death rank."
3,Age_rel_delta,0.07711152563921331,,gbsa_native_feature_importances_impurity,death,"GBSA (sksurv GradientBoostingSurvivalAnalysis, n=200, lr=0.05, max_depth=3, subs=0.8, max_features='sqrt', seed=42)",reports/explainability/scripts/compute_death_component_importance.py,"Post-hoc reference single-fit on full training labels; the submitted ensemble averages ranks across 5x10 stratified-by-hep-event CV. Impurity-based importances are biased toward high-cardinality / continuous features; treat as relative ranking, not as effect sizes. GBSA carries weight 0.15 in the final death rank."
4,fibrotest_BM_2_last,0.03287063412467433,,gbsa_native_feature_importances_impurity,death,"GBSA (sksurv GradientBoostingSurvivalAnalysis, n=200, lr=0.05, max_depth=3, subs=0.8, max_features='sqrt', seed=42)",reports/explainability/scripts/compute_death_component_importance.py,"Post-hoc reference single-fit on full training labels; the submitted ensemble averages ranks across 5x10 stratified-by-hep-event CV. Impurity-based importances are biased toward high-cardinality / continuous features; treat as relative ranking, not as effect sizes. GBSA carries weight 0.15 in the final death rank."
5,fibrotest_BM_2_min,0.028829216323848973,,gbsa_native_feature_importances_impurity,death,"GBSA (sksurv GradientBoostingSurvivalAnalysis, n=200, lr=0.05, max_depth=3, subs=0.8, max_features='sqrt', seed=42)",reports/explainability/scripts/compute_death_component_importance.py,"Post-hoc reference single-fit on full training labels; the submitted ensemble averages ranks across 5x10 stratified-by-hep-event CV. Impurity-based importances are biased toward high-cardinality / continuous features; treat as relative ranking, not as effect sizes. GBSA carries weight 0.15 in the final death rank."
6,fibrotest_BM_2_mean,0.028539822047278923,,gbsa_native_feature_importances_impurity,death,"GBSA (sksurv GradientBoostingSurvivalAnalysis, n=200, lr=0.05, max_depth=3, subs=0.8, max_features='sqrt', seed=42)",reports/explainability/scripts/compute_death_component_importance.py,"Post-hoc reference single-fit on full training labels; the submitted ensemble averages ranks across 5x10 stratified-by-hep-event CV. Impurity-based importances are biased toward high-cardinality / continuous features; treat as relative ranking, not as effect sizes. GBSA carries weight 0.15 in the final death rank."
7,Age_count,0.02310353201228204,,gbsa_native_feature_importances_impurity,death,"GBSA (sksurv GradientBoostingSurvivalAnalysis, n=200, lr=0.05, max_depth=3, subs=0.8, max_features='sqrt', seed=42)",reports/explainability/scripts/compute_death_component_importance.py,"Post-hoc reference single-fit on full training labels; the submitted ensemble averages ranks across 5x10 stratified-by-hep-event CV. Impurity-based importances are biased toward high-cardinality / continuous features; treat as relative ranking, not as effect sizes. GBSA carries weight 0.15 in the final death rank."
8,Age_first,0.021044815447836537,,gbsa_native_feature_importances_impurity,death,"GBSA (sksurv GradientBoostingSurvivalAnalysis, n=200, lr=0.05, max_depth=3, subs=0.8, max_features='sqrt', seed=42)",reports/explainability/scripts/compute_death_component_importance.py,"Post-hoc reference single-fit on full training labels; the submitted ensemble averages ranks across 5x10 stratified-by-hep-event CV. Impurity-based importances are biased toward high-cardinality / continuous features; treat as relative ranking, not as effect sizes. GBSA carries weight 0.15 in the final death rank."
9,Age_min,0.020941370938162597,,gbsa_native_feature_importances_impurity,death,"GBSA (sksurv GradientBoostingSurvivalAnalysis, n=200, lr=0.05, max_depth=3, subs=0.8, max_features='sqrt', seed=42)",reports/explainability/scripts/compute_death_component_importance.py,"Post-hoc reference single-fit on full training labels; the submitted ensemble averages ranks across 5x10 stratified-by-hep-event CV. Impurity-based importances are biased toward high-cardinality / continuous features; treat as relative ranking, not as effect sizes. GBSA carries weight 0.15 in the final death rank."
10,Age_mean,0.020443347894504017,,gbsa_native_feature_importances_impurity,death,"GBSA (sksurv GradientBoostingSurvivalAnalysis, n=200, lr=0.05, max_depth=3, subs=0.8, max_features='sqrt', seed=42)",reports/explainability/scripts/compute_death_component_importance.py,"Post-hoc reference single-fit on full training labels; the submitted ensemble averages ranks across 5x10 stratified-by-hep-event CV. Impurity-based importances are biased toward high-cardinality / continuous features; treat as relative ranking, not as effect sizes. GBSA carries weight 0.15 in the final death rank."
